c
50615.4
52874.9
55475.6
57721.2
60131.8
62820.1
66082.3
69768.3
74620.3
78422.1
80156.5
78847.7
79898.4
82697.3
84824.1
89522.2
91617.7
92336.2
95281.3
98266.6
102020.4
