y,c,nx,w
0.04030721761332,0.01513612084160,-0.0028737020838,0.01097181411322
0.04113165313692,0.01581424603813,-0.0031570827917,0.01170887495671
0.04355227367333,0.01658951392577,-0.0038869132205,0.01248421060186
0.04540450510170,0.01721981538307,-0.0038702311620,0.01346268013754
0.04643259245415,0.01789627850097,-0.0041331040885,0.01363856194775
0.04846428974254,0.01864618024019,-0.0043134583534,0.01438947362172
0.05076178758589,0.01952551229048,-0.0043323381814,0.01539897080967
0.05286600548688,0.02046677829747,-0.0050081317603,0.01634290213491
0.05622669104418,0.02173132939169,-0.0052663169243,0.01714717892833
0.05820727264858,0.02262790613797,-0.0054586558368,0.01804788319904
0.06059442102610,0.02298686256061,-0.0045280303706,0.01838209125919
0.05947765129722,0.02250158100691,-0.0046233322375,0.01829147945718
0.05981104269617,0.02267419536921,-0.0045893320173,0.01822233018773
0.06130452008350,0.02330299618123,-0.0045665219410,0.01842197214595
0.06195068366972,0.02399622166888,-0.0037082300063,0.01878245854048
0.06591626923742,0.02536808607708,-0.0038651659285,0.01969282473724
0.06791324287792,0.02597850722196,-0.0038765147775,0.02049801611887
0.06831076894348,0.02612551742480,-0.0039894973022,0.02063333078688
0.06903350002962,0.02687485368241,-0.0049785494885,0.02112845767861
0.07175609674982,0.02769571928923,-0.0051923590202,0.02191019422059
0.07355752352136,0.02876857069943,-0.0056967017225,0.02268139962129
0.07551523167626,0.02966562073478,-0.0063231225992,0.02365033981061
